"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 11 08:58:26 UTC 2025","Mon Aug 11 08:58:26 UTC 2025","483","Book API Test Suite","Book API Tests","testing.Authors.EditAuthorsTests","testing.Authors.EditAuthorsTests","testUpdateAuthor_ValidData_ShouldSucceed","Test successful updating author with valid data","Ensure that updating an existing author with valid data via PUT /Authors/{id} returns 200 OK and updates the author's information accurately."
"passed","Mon Aug 11 08:58:29 UTC 2025","Mon Aug 11 08:58:29 UTC 2025","17","Book API Test Suite","Book API Tests","testing.Authors.GetAllAuthorsTests","testing.Authors.GetAllAuthorsTests","testGetAllAuthors_EachAuthorHasNonEmptyFirstName","Test each author in the authors list has a non-empty first name after fetching all authors","Check that every author's first name is neither null nor blank"
"passed","Mon Aug 11 08:58:24 UTC 2025","Mon Aug 11 08:58:24 UTC 2025","485","Book API Test Suite","Book API Tests","testing.Books.CreateBooksTests","testing.Books.CreateBooksTests","testCreateBook_ValidPayload_ShouldCreateBookSuccessfully","Test creating a book with valid data returns 200 OK and correct book data","Ensure POST /Books with a valid book payload returns 200 OK and the created book fields match the request"
"passed","Mon Aug 11 08:58:26 UTC 2025","Mon Aug 11 08:58:26 UTC 2025","489","Book API Test Suite","Book API Tests","testing.Books.CreateBooksTests","testing.Books.CreateBooksTests","testCreateBook_InvalidPayload_ShouldReturn400","Test creating a book with invalid data returns 400 Bad Request with validation errors","Ensure POST /Books with invalid book fields returns 400 Bad Request and appropriate validation error messages"
"passed","Mon Aug 11 08:58:30 UTC 2025","Mon Aug 11 08:58:30 UTC 2025","514","Book API Test Suite","Book API Tests","testing.Authors.GetAuthorByIdTests","testing.Authors.GetAuthorByIdTests","testGetAuthorById_NonExistentId_ShouldReturn404","Test getting authors with non-existent ID returns 404 Not Found","Verify that requesting authors with valid but non-existent IDs returns 404 Not Found with appropriate error response"
"passed","Mon Aug 11 08:58:26 UTC 2025","Mon Aug 11 08:58:26 UTC 2025","491","Book API Test Suite","Book API Tests","testing.Books.EditBooksTests","testing.Books.EditBooksTests","testUpdateBook_InvalidData_ShouldReturn400","Test updating a book with invalid data returns 400 with validation errors","Ensure that PUT /Books/{id} with invalid fields returns HTTP 400 Bad Request and relevant validation errors"
"passed","Mon Aug 11 08:58:20 UTC 2025","Mon Aug 11 08:58:21 UTC 2025","574","Book API Test Suite","Book API Tests","testing.Books.GetBookByIdTests","testing.Books.GetBookByIdTests","testGetBookB_ValidId_ShouldReturnBookDetails","Test getting book by valid ID returns 200 OK and book data","Ensure GET /Books/{id} with a valid ID returns 200 OK and book data"
"passed","Mon Aug 11 08:58:23 UTC 2025","Mon Aug 11 08:58:23 UTC 2025","1","Book API Test Suite","Book API Tests","testing.Books.GetAllBooksTests","testing.Books.GetAllBooksTests","testGetAllBooks_ShouldReturnNonEmptyList","Test book list is not empty after fetching all books","Ensure the returned book list from GET /Books is not empty"
"passed","Mon Aug 11 08:58:23 UTC 2025","Mon Aug 11 08:58:24 UTC 2025","519","Book API Test Suite","Book API Tests","testing.Books.DeleteBookByIdTests","testing.Books.DeleteBookByIdTests","testDeleteBook_InvalidIdFormat_ShouldReturn400","Test deleting a book with invalid ID format returns 400 Bad Request","Ensure DELETE /Books/{id} with invalid ID formats returns 400 Bad Request and proper validation errors"
"failed","Mon Aug 11 08:58:23 UTC 2025","Mon Aug 11 08:58:23 UTC 2025","530","Book API Test Suite","Book API Tests","testing.Books.DeleteBookByIdTests","testing.Books.DeleteBookByIdTests","testDeleteBook_NonExistentId_ShouldReturn404","Test deleting a book with non-existent ID returns 404 Not Found","Ensure DELETE /Books/{id} on non-existent but valid IDs returns 404 Not Found"
